"athletic","1","2","6","8","8","8"
"getafe","1","0","0","0","0","0"
"malaga","0","2","0","0","0","0"
"madrid","1","2","0","0","0","0"
"racing","0","0","5","16","18","15"
"villarreal","1","0","9","20","19","15"
"sevilla","0","1","11","15","14","11"
"cadiz","1","0","13","16","16","12"
"celta","0","0","17","4","2","1"
"alaves","0","1","17","18","18","19"
"osasuna","0","0","17","1","5","2"
"athletic","1","1","19","20","20","19"
"mallorca","1","2","18","14","16","18"
"atletico","0","1","14","12","11","11"
"valencia","1","0","14","7","8","9"
"betis","0","1","16","20","19","19"
"zaragoza","1","1","17","12","14","16"
"deportivo","0","2","17","5","5","7"
"barcelona","1","0","14","1","1","1"
"sociedad","0","2","14","11","11","12"
"getafe","0","0","12","10","10","9"
"malaga","1","2","14","18","17","15"
"madrid","0","0","13","3","4","4"
"racing","1","0","14","13","12","12"
"villarreal","0","0","14","8","7","6"
"sevilla","1","2","14","5","6","6"
"cadiz","0","0","13","19","17","17"
"celta","1","2","13","5","5","6"
"osasuna","1","0","12","4","4","4"
"athletic","0","1","13","14","16","18"
"alaves","1","1","14","16","17","17"
"mallorca","0","1","15","17","13","15"
"atletico","1","1","15","9","9","9"
"valencia","0","0","15","2","3","4"
"betis","1","2","17","12","12","12"
"zaragoza","0","1","13","11","11","11"
"deportivo","1","0","14","7","7","7"
"barcelona","0","0","15","1","1","1"
"sociedad","1","2","17","15","14","12"
"tarragona","1","0","0","0","0","0"
"zaragoza","0","0","0","0","0","0"
"celta","1","2","0","0","0","0"
"mallorca","0","0","13","16","13","10"
"osasuna","1","1","17","10","14","19"
"villarreal","0","1","15","10","14","17"
"racing","1","1","16","15","18","20"
"levante","0","1","16","13","14","12"
"valencia","1","1","16","5","2","2"
"sociedad","0","1","15","20","20","20"
"athletic","1","2","15","16","17","17"
"betis","0","1","13","16","18","18"
"sevilla","1","2","14","2","2","2"
"atletico","0","2","13","4","5","5"
"madrid","1","0","11","3","2","3"
"getafe","0","2","12","7","6","7"
"recreativo","1","0","10","7","8","7"
"barcelona","1","2","10","2","2","1"
"deportivo","0","1","10","14","14","15"
"tarragona","0","0","10","20","20","20"
"zaragoza","1","0","11","6","6","6"
"celta","0","2","12","17","17","14"
"mallorca","1","2","10","14","15","13"
"osasuna","0","2","9","11","9","11"
"villarreal","1","1","9","12","13","13"
"racing","0","1","9","10","10","10"
"levante","1","1","9","17","16","15"
"valencia","0","0","10","3","3","3"
"sociedad","1","2","10","19","20","20"
"athletic","0","0","9","16","18","18"
"betis","1","1","10","15","15","15"
"sevilla","0","0","10","2","2","2"
"atletico","1","2","12","6","6","6"
"madrid","0","0","11","2","3","3"
"getafe","1","0","12","9","8","9"
"recreativo","0","2","12","7","7","7"
"barcelona","0","1","11","2","1","1"
"deportivo","1","0","11","13","13","13"
"valladolid","1","0","0","0","0","0"
"betis","0","1","0","0","0","0"
"getafe","1","2","0","0","0","0"
"recreativo","0","0","10","18","11","8"
"sevilla","0","2","16","5","2","2"
"deportivo","1","2","10","16","13","11"
"valencia","0","2","6","3","3","3"
"madrid","1","2","5","1","1","1"
"mallorca","0","1","5","7","7","7"
"murcia","1","1","6","11","13","11"
"racing","0","1","5","9","8","8"
"athletic","1","2","6","13","14","14"
"osasuna","0","2","5","12","11","11"
"barcelona","1","1","4","3","3","2"
"zaragoza","0","1","5","9","9","8"
"levante","1","2","5","20","20","20"
"atletico","0","2","5","3","3","4"
"villarreal","1","2","3","4","4","4"
"almeria","0","0","3","16","16","11"
"valladolid","0","0","4","9","12","17"
"betis","1","0","5","16","16","18"
"getafe","0","2","5","10","12","15"
"recreativo","1","0","3","19","18","17"
"sevilla","1","0","5","7","7","7"
"deportivo","0","0","5","18","18","17"
"valencia","1","2","6","9","9","9"
"madrid","0","0","5","1","1","1"
"mallorca","1","2","7","11","12","12"
"murcia","0","0","6","19","19","19"
"racing","1","0","7","5","7","5"
"athletic","0","0","7","10","8","10"
